'Auckland','Level 1 10-12 Scotia Place','auc@LSI.edu','64093033097','Auckland','New Zealand','5'
'Berkeley','2015 Center Street','ber@LSI.edu','15108414695','Berkeley','USA','5'
'Boston','105 Beach Street','bos@LSI.edu','16175423600','Boston','USA','5'
'Brighton','13 Ventnor Villas','bri@LSI.edu','4401273722060','Brighton','UK','5'
'Brisbane','93 Edward Street','bne@LSI.edu','610732216977','Brisbane','Australia','5'
'Cambridge','41 Tenison Road','cam@LSI.edu','4401223361783','Cambridge CB1 2DG','UK','5'
'London Central','19-21 Ridgmount Street','lon@LSI.edu','4402074676500','London WC1E 7AH','UK','5'
'London Hampstead','13 Lyndhurst Terrace','ham@LSI.edu','4402077948111','London NW3 5QA','UK','5'
'New York','431 Canal Street 12th Floor','nyc@LSI.edu','12129659940','New York','USA','5'
'Paris','350 Rue St Honoré','par@LSI.edu','330142605370','Paris','France','5'
'San Diego','1706 5th Avenue','info-san@lsi.edu','16192342881','San Diego','USA','5'
'Toronto','1055 Yonge St 210','tor@LSI.edu','14169286888','Toronto ON M4W 2L2','','5'
'Vancouver','101 808 Nelson Street','van@LSI.edu','16046837654','Vancouver B.C. V6Z 2H2','Canada','5'
'Zurich','Kreuzstrasse 36','zur@LSI.edu','410442515889','Zurich','Switzerland','5'
